mx	my	mz	ax	ay	az	gx	gy	gz	ms
-135	0416	0327	-003	-019	-254	00019	00011	00006	0
-135	0420	0330	-011	-015	-259	-0009	00013	00011	1
-136	0424	0330	-005	-021	-249	-0013	00011	00006	2
-136	0413	0335	-011	-021	-249	-0004	00014	-0004	3
-133	0422	0326	-006	-015	-257	-0004	00013	-0001	4
-139	0421	0329	-006	-019	-258	-0029	00014	00010	5
-139	0420	0330	-004	-016	-253	-0004	00010	-0004	6
-135	0427	0329	0000	-020	-257	00000	00008	00002	7
-132	0417	0335	-003	-019	-254	00006	00007	-0003	8
-139	0428	0328	-002	-021	-257	-0015	00018	00003	9
-139	0428	0337	-003	-025	-252	-0006	00004	00004	10
-133	0423	0316	-005	-014	-255	-0005	00015	00011	11
-130	0418	0329	-004	-021	-256	00007	00010	00003	12
-139	0416	0332	-009	-022	-254	-0001	00008	00007	13
-142	0419	0336	0001	-017	-257	-0007	00013	00010	14
-145	0417	0326	-003	-021	-245	-0001	00011	00007	15
-138	0425	0337	-003	-021	-251	-0001	00010	00006	16
-142	0423	0328	-008	-020	-259	-0006	00010	00001	17
-140	0425	0329	-003	-029	-253	00001	00009	00005	18
-143	0418	0328	-002	-020	-266	00004	00011	00005	19
-137	0409	0333	-011	-025	-255	-0002	00011	00005	20
-135	0426	0329	-009	-023	-253	-0005	00013	00010	21
-134	0415	0341	-003	-021	-254	00000	00014	00004	22
-135	0419	0330	-004	-025	-256	00005	00008	00006	23
-133	0414	0332	-002	-018	-256	00001	00014	00007	24
-134	0419	0328	0001	-010	-258	-0001	00010	00007	25
-139	0415	0325	-007	-025	-253	00003	00011	00009	26
-135	0415	0327	0005	-020	-245	-0001	00013	00004	27
-138	0417	0330	0000	-019	-258	00000	00013	00006	28
-137	0409	0328	-012	-013	-254	00001	00015	00003	29
-131	0427	0326	-006	-013	-249	00003	00006	00008	30
-137	0411	0332	-008	-023	-254	00002	00011	00002	31
-132	0421	0326	-002	-019	-254	00001	00010	00005	32
-136	0417	0336	-002	-019	-246	00002	00016	00010	33
-136	0420	0326	-007	-020	-255	00003	00010	00005	34
-137	0420	0332	-007	-021	-255	-0003	00011	00004	35
-138	0420	0325	-006	-020	-255	00003	00014	00006	36
-133	0420	0330	-008	-018	-255	00004	00012	00003	37
-136	0413	0335	0001	-025	-254	00000	00011	00005	38
-136	0421	0325	-006	-026	-253	-0003	00010	00007	39
-137	0424	0327	-005	-025	-246	00001	00015	00000	40
-134	0419	0333	0005	-026	-242	00005	00012	00005	41
-137	0415	0326	-006	-020	-259	-0002	00010	00007	42
-138	0427	0334	-004	-024	-246	-0003	00011	00007	43
-132	0422	0331	-009	-021	-251	00001	00011	00004	44
-140	0419	0330	-010	-020	-250	00000	00011	00001	45
-142	0419	0338	0004	-018	-254	00000	00011	00001	46
-133	0412	0325	-006	-018	-261	-0001	00015	00007	47
-141	0413	0339	-005	-020	-258	00001	00012	00007	48
-136	0422	0334	-008	-023	-246	-0002	00012	00005	49
-125	0429	0324	-004	-027	-255	00001	00012	00005	50
-137	0411	0326	-004	-016	-259	00002	00011	00007	51
-134	0416	0325	-009	-025	-259	-0001	00013	00007	52
-137	0423	0331	-009	-021	-255	00001	00011	00002	53
-131	0433	0338	-009	-023	-253	-0001	00008	00006	54
-137	0425	0325	-006	-017	-254	-0001	00011	00002	55
-136	0410	0325	-002	-020	-259	00001	00011	00005	56
-143	0412	0329	-003	-021	-253	-0003	00009	00010	57
-132	0409	0330	0000	-022	-255	00000	00012	00003	58
-140	0420	0322	-008	-023	-264	-0003	00009	00003	59
-135	0427	0329	-009	-019	-249	-0003	00014	00005	60
-141	0414	0331	-004	-018	-247	00001	00011	-0001	61
-129	0417	0329	-014	-017	-257	-0001	00007	00005	62
-136	0413	0337	-006	-021	-249	00001	00012	00002	63
-136	0426	0325	-005	-023	-254	-0002	00010	00007	64
-136	0421	0334	-013	-026	-259	-0002	00014	00009	65
-136	0416	0329	-008	-023	-242	-0003	00015	-0001	66
-131	0420	0337	-005	-023	-248	-0001	00009	00002	67
-141	0421	0331	-008	-024	-250	00000	00011	00006	68
-142	0413	0333	-011	-015	-256	-0001	00010	00010	69
-135	0422	0323	-005	-022	-260	-0001	00013	00006	70
-139	0415	0327	-005	-021	-250	00000	00013	00002	71
-141	0405	0339	-001	-027	-257	-0002	00012	00001	72
-139	0417	0332	-006	-021	-256	-0005	00009	00007	73
-138	0412	0335	-011	-021	-251	00000	00014	00005	74
-140	0423	0327	-009	-024	-259	-0005	00008	00005	75
-140	0418	0326	0004	-021	-255	00000	00010	00003	76
-133	0415	0325	0000	-028	-262	-0002	00010	00005	77
-140	0412	0325	0000	-013	-248	-0003	00005	00001	78
-132	0417	0330	0004	-025	-255	00002	00010	00007	79
-134	0421	0326	0000	-016	-251	-0001	00007	00008	80
-137	0418	0325	-001	-015	-261	00001	00008	00006	81
-141	0414	0326	0000	-023	-255	-0001	00010	00002	82
-133	0416	0333	-006	-018	-257	-0001	00010	00002	83
-134	0425	0331	-009	-024	-258	-0035	00010	-0021	84
-128	0422	0335	-012	-016	-248	00021	-0045	-0038	85
-135	0425	0325	-001	-015	-272	-0096	-0071	-0046	86
-139	0445	0329	0004	-021	-259	-0020	-0076	00016	87
-136	0452	0320	-009	-037	-244	00021	-0134	00070	88
-133	0469	0315	-006	-036	-257	00081	-0019	-0020	89
-138	0468	0309	-001	-048	-248	00022	-0129	00012	90
-140	0492	0307	0004	-051	-251	-0008	-0093	00018	91
-144	0497	0294	-007	-060	-245	-0012	-0034	-0011	92
-140	0497	0299	0003	-057	-251	00025	-0017	-0003	93
-129	0498	0310	-003	-058	-254	00004	-0002	-0002	94
-135	0494	0305	-009	-070	-247	-0056	-0004	00019	95
-136	0497	0299	-005	-065	-253	-0033	-0021	00001	96
